"details_id","year_of_manuf","fuel_type","no_of_seats","transmission_type"
"1","2015","CNG","5","Manual"
"2","2014","Electric","6","Auto"
"3","2013","Electric","8","Manual"
"4","2018","Diesel","6","Manual"
"5","2015","Electric","8","Auto"
"6","2013","CNG","7","Auto"
"7","2018","Petrol","4","Manual"
"8","2017","Diesel","4","Manual"
"9","2018","CNG","7","Auto"
"10","2019","Diesel","6","Manual"
"11","2016","CNG","6","Manual"
"12","2019","CNG","4","Manual"
"13","2017","CNG","7","Manual"
"14","2017","CNG","6","Auto"
"15","2019","CNG","5","Auto"
"16","2014","Petrol","6","Manual"
"17","2020","Petrol","7","Manual"
"18","2018","Electric","5","Auto"
"19","2017","Diesel","6","Manual"
"20","2012","CNG","7","Manual"
"21","2013","CNG","7","Manual"
"22","2013","Electric","6","Manual"
"23","2014","Diesel","8","Manual"
"24","2012","Diesel","4","Manual"
"25","2013","CNG","5","Auto"
"26","2013","Petrol","5","Auto"
"27","2013","Petrol","5","Auto"
"28","2017","CNG","7","Manual"
"29","2016","Diesel","6","Auto"
"30","2012","CNG","8","Auto"
"31","2013","CNG","6","Auto"
"32","2020","Diesel","6","Manual"
"33","2017","CNG","4","Manual"
"34","2015","CNG","6","Manual"
"35","2018","Diesel","5","Auto"
"36","2013","Petrol","8","Manual"
"37","2016","Electric","6","Manual"
"38","2015","Electric","5","Manual"
"39","2013","Petrol","8","Auto"
"40","2015","Electric","8","Auto"
"41","2017","Electric","7","Manual"
"42","2017","Diesel","8","Manual"
"43","2014","Diesel","8","Auto"
"44","2020","Petrol","6","Auto"
"45","2014","CNG","4","Manual"
"46","2012","Electric","7","Manual"
"47","2015","Electric","5","Manual"
"48","2019","Electric","8","Auto"
"49","2020","CNG","7","Auto"
"50","2014","CNG","8","Auto"
"51","2012","Diesel","8","Auto"
"52","2016","Petrol","4","Auto"
"53","2013","Electric","4","Manual"
"54","2017","CNG","6","Manual"
"55","2017","CNG","6","Auto"
"56","2013","Petrol","5","Auto"
"57","2016","Petrol","6","Manual"
"58","2018","CNG","8","Manual"
"59","2015","Diesel","5","Auto"
"60","2018","Diesel","7","Auto"
"61","2013","CNG","6","Auto"
"62","2015","Diesel","5","Manual"
"63","2019","Petrol","4","Auto"
"64","2013","Diesel","5","Manual"
"65","2012","Petrol","6","Auto"
"66","2015","Diesel","5","Manual"
"67","2015","Electric","7","Auto"
"68","2017","Petrol","7","Manual"
"69","2014","Diesel","5","Manual"
"70","2014","CNG","8","Manual"
"71","2015","CNG","6","Manual"
"72","2015","Diesel","5","Manual"
"73","2014","Diesel","6","Manual"
"74","2016","CNG","6","Auto"
"75","2016","CNG","6","Manual"
"76","2015","Petrol","7","Manual"
"77","2013","CNG","5","Manual"
"78","2014","Petrol","7","Manual"
"79","2017","Petrol","5","Auto"
"80","2019","Petrol","7","Auto"
"81","2014","Diesel","6","Auto"
"82","2019","Petrol","8","Auto"
"83","2017","Diesel","6","Manual"
"84","2019","Diesel","7","Auto"
"85","2013","CNG","7","Manual"
"86","2013","Electric","7","Manual"
"87","2016","Diesel","7","Manual"
"88","2014","CNG","5","Manual"
"89","2016","Petrol","4","Manual"
"90","2018","CNG","8","Auto"
"91","2013","Petrol","4","Auto"
"92","2014","Electric","5","Manual"
"93","2015","CNG","6","Auto"
"94","2014","CNG","6","Manual"
"95","2017","CNG","7","Manual"
"96","2016","Electric","5","Manual"
"97","2017","Petrol","8","Auto"
"98","2017","Petrol","5","Auto"
"99","2013","Electric","7","Auto"